year,avg_under_25,avg_over_25,drivers_under_25,drivers_over_25,violations_under_25,violations_over_25,pct_difference
2021,1.25490552325581395,1.07265332532236447,11008,21637,13814,23209,-14.523200
2022,1.31375310687655344,1.07435412728418399,12070,22218,15857,23870,-18.222500
2023,1.40336832565516200,1.07720410229323474,13241,22719,18582,24473,-23.241500
2024,1.55997815252270089,1.08321316481465773,14647,23578,22849,25540,-30.562300
2025,2.01595257013629974,1.09346024452285222,16361,24374,32983,26652,-45.759600
