app_name,customer_city,store_city,price,path_wkt
Hungerstation,الخرج,الخرج,1.0,"LINESTRING (47.279276 24.138708, 47.27921 24.13878, 47.27848 24.1383, 47.27836 24.13843, 47.27819 24.13832, 47.27811 24.13841, 47.27791 24.13864, 47.2778 24.13878, 47.27762 24.13867, 47.27773 24.13855, 47.27796 24.1383, 47.278 24.13825, 47.27804 24.1382, 47.27835 24.13789, 47.27842 24.13776, 47.278 24.13746, 47.27689 24.13668, 47.2759 24.13596, 47.27469 24.13501, 47.27391 24.13445, 47.27206 24.13311, 47.27075 24.13218, 47.26923 24.13128, 47.26791 24.1305, 47.26713 24.13004, 47.26607 24.12939, 47.26561 24.12913, 47.26511 24.12886, 47.26483 24.12867, 47.26436 24.12835, 47.26417 24.12814, 47.26402 24.12792, 47.26368 24.12732, 47.26342 24.1269, 47.263 24.12616, 47.26284 24.1259, 47.26268 24.12563, 47.26239 24.12512, 47.26223 24.12481, 47.26206 24.12437, 47.26175 24.12364, 47.26107 24.122, 47.26086 24.12166, 47.26037 24.12041, 47.26032 24.12029, 47.26027 24.12016, 47.26018 24.11994, 47.26008 24.11982, 47.26005 24.11968, 47.26006 24.1196, 47.26007 24.11954, 47.26011 24.11948, 47.26018 24.11942, 47.25984 24.11668, 47.25965 24.11606, 47.25951 24.11595, 47.25939 24.11577, 47.25914 24.11544, 47.25836 24.11416, 47.25797 24.11359, 47.25778 24.11334, 47.25636 24.11204, 47.25574 24.11134, 47.25545 24.11112, 47.25531 24.11102, 47.25453 24.11033, 47.25426 24.11005, 47.25285 24.10854, 47.25177 24.10721, 47.25156 24.10685, 47.25131 24.10633, 47.25109 24.10568, 47.25103 24.1054, 47.25097 24.1049, 47.25096 24.10466, 47.25092 24.10443, 47.2508 24.10409, 47.25072 24.10379, 47.25067 24.1037, 47.25055 24.10365, 47.25024 24.10366, 47.25004 24.10369, 47.2498 24.10317, 47.24924 24.10332, 47.24882 24.10344, 47.24866 24.10296, 47.24817 24.1031, 47.24787 24.10317, 47.24736 24.1033, 47.24721 24.1028, 47.247037 24.102193)"
Hungerstation,الخرج,الخرج,1.0,"LINESTRING (47.279276 24.138708, 47.27921 24.13878, 47.27848 24.1383, 47.27836 24.13843, 47.27819 24.13832, 47.27811 24.13841, 47.27791 24.13864, 47.2778 24.13878, 47.27762 24.13867, 47.27773 24.13855, 47.27796 24.1383, 47.278 24.13825, 47.27804 24.1382, 47.27835 24.13789, 47.27842 24.13776, 47.27853 24.13764, 47.27866 24.13772, 47.27981 24.13849, 47.28181 24.13992, 47.28256 24.14046, 47.28378 24.14139, 47.28426 24.14179, 47.28523 24.14269, 47.28583 24.14329, 47.28649 24.144, 47.28715 24.14475, 47.28764 24.14534, 47.28928 24.14733, 47.28995 24.14818, 47.29031 24.1486, 47.29109 24.14957, 47.29155 24.15019, 47.29231 24.15115, 47.29292 24.15188, 47.29331 24.15144, 47.29369 24.15091, 47.29383 24.15076, 47.29391 24.15066, 47.29401 24.15073, 47.29426 24.15094, 47.29543 24.15174, 47.29558 24.15184, 47.29584 24.15201, 47.29599 24.15206, 47.29704 24.15225, 47.29892 24.15264, 47.29903 24.15266, 47.30104 24.15314, 47.30154 24.15173, 47.30172 24.15123, 47.30189 24.1508, 47.30193 24.1507, 47.30196 24.15061, 47.30216 24.15011, 47.3023 24.14967, 47.30243 24.14935, 47.30202 24.14919, 47.301687 24.149034)"
Keeta,الرياض,الرياض,,"LINESTRING (46.631884 24.564159, 46.63225 24.56438, 46.63253 24.56454, 46.63292 24.56479, 46.63286 24.5649, 46.63243 24.56465, 46.63133 24.56399, 46.63097 24.56377, 46.63052 24.56375, 46.6302 24.56378, 46.62907 24.56429, 46.62913 24.5645, 46.62931 24.56459, 46.63064 24.56538, 46.63124 24.56579, 46.6314 24.56589, 46.63156 24.56599, 46.63218 24.56636, 46.6321 24.56648, 46.63149 24.56611, 46.63133 24.56601, 46.631115 24.565862)"
Hungerstation,الرياض,الرياض,1.0,"LINESTRING (46.715928 24.762955, 46.71584 24.76313, 46.71579 24.76317, 46.71553 24.76325, 46.71527 24.76376, 46.71458 24.7651, 46.71448 24.7653, 46.71432 24.76561, 46.71424 24.76577, 46.7138 24.76659, 46.71368 24.76682, 46.71335 24.76742, 46.71316 24.76778, 46.71313 24.768, 46.71299 24.76831, 46.71297 24.76843, 46.71303 24.76852, 46.71318 24.76864, 46.71351 24.76877, 46.71491 24.76937, 46.71592 24.76979, 46.71625 24.76994, 46.71705 24.77026, 46.71731 24.77037, 46.71785 24.77059, 46.71898 24.77109, 46.71982 24.77154, 46.72069 24.7719, 46.72267 24.77277, 46.72361 24.77317, 46.72837 24.77516, 46.72926 24.77555, 46.73017 24.77594, 46.73049 24.77608, 46.73185 24.77665, 46.73253 24.77692, 46.73275 24.77695, 46.73319 24.7771, 46.73341 24.77711, 46.73409 24.77742, 46.73431 24.77751, 46.7356 24.77807, 46.73637 24.77836, 46.73725 24.77874, 46.73886 24.77945, 46.73897 24.77923, 46.73911 24.77896, 46.73924 24.77872, 46.73938 24.77836, 46.73949 24.77815, 46.73954 24.77804, 46.74011 24.77685, 46.74064 24.77582, 46.73954 24.77537, 46.739392 24.775299)"
Jahez,الرياض,الرياض,,"LINESTRING (46.832454 24.710259, 46.83233 24.71042, 46.83209 24.71074, 46.83186 24.71106, 46.83141 24.71164, 46.83094 24.71227, 46.83076 24.71254, 46.83053 24.71283, 46.83029 24.71314, 46.83002 24.7135, 46.8299 24.71356, 46.8295 24.71407, 46.82944 24.71412, 46.8294 24.71412, 46.82938 24.71409, 46.82938 24.71404, 46.82777 24.71305, 46.82761 24.71295, 46.82729 24.71275, 46.82694 24.71255, 46.82677 24.71243, 46.8254 24.71158, 46.82518 24.71191, 46.82402 24.71348, 46.82358 24.71412, 46.82349 24.71422, 46.82336 24.71416, 46.82197 24.71347, 46.82132 24.71314, 46.82004 24.71249, 46.81993 24.71242, 46.81923 24.71209, 46.81899 24.71196, 46.81876 24.71182, 46.81826 24.71153, 46.81778 24.71122, 46.81764 24.71112, 46.81748 24.71102, 46.81703 24.71076, 46.81642 24.71036, 46.81585 24.70999, 46.81531 24.70966, 46.8147 24.70929, 46.8145 24.70915, 46.81419 24.70899, 46.81407 24.70891, 46.81334 24.70847, 46.81326 24.70837, 46.81288 24.70815, 46.81274 24.70805, 46.81261 24.70797, 46.81215 24.70765, 46.81196 24.70755, 46.81155 24.70729, 46.81102 24.70696, 46.81076 24.70681, 46.81049 24.70665, 46.80978 24.70619, 46.809 24.70569, 46.80856 24.70542, 46.80792 24.70504, 46.80778 24.70496, 46.80693 24.70443, 46.80628 24.70402, 46.8057 24.70364, 46.80532 24.70342, 46.80473 24.70304, 46.80364 24.70239, 46.80292 24.70197, 46.8027 24.70194, 46.80228 24.7017, 46.80177 24.70141, 46.80084 24.70083, 46.80056 24.70065, 46.7997 24.70012, 46.79953 24.70001, 46.79936 24.69989, 46.7992 24.69979, 46.79799 24.69904, 46.7977 24.69886, 46.79692 24.69839, 46.7968 24.69832, 46.79663 24.69822, 46.79633 24.69801, 46.79605 24.69783, 46.79459 24.69691, 46.79448 24.69684, 46.79377 24.69641, 46.79318 24.69605, 46.79283 24.69584, 46.79265 24.69579, 46.79204 24.69542, 46.79174 24.69522, 46.79152 24.69508, 46.7907 24.69457, 46.79015 24.69424, 46.78972 24.69397, 46.78952 24.69386, 46.78931 24.69371, 46.7889 24.69346, 46.78831 24.69309, 46.78744 24.69255, 46.78678 24.69214, 46.78629 24.69182, 46.78605 24.69213, 46.78597 24.69223, 46.78553 24.69284, 46.78543 24.69297, 46.78531 24.69314, 46.78509 24.69339, 46.78502 24.69349, 46.78451 24.69416, 46.78435 24.69438, 46.78413 24.69469, 46.78396 24.6949, 46.78374 24.69523, 46.78336 24.69571, 46.78298 24.69619, 46.78277 24.69645, 46.78255 24.69671, 46.78245 24.69684, 46.7823 24.69704, 46.7821 24.6973, 46.78196 24.6975, 46.78187 24.69764, 46.78176 24.69759, 46.78139 24.69745, 46.78068 24.69723, 46.77973 24.69692, 46.77901 24.69666, 46.77782 24.69624, 46.77685 24.69594, 46.77569 24.69554, 46.77474 24.69518, 46.77413 24.69497, 46.77387 24.69489, 46.77357 24.69483, 46.77335 24.69477, 46.77306 24.69463, 46.7725 24.69447, 46.77177 24.69421, 46.7713 24.69406, 46.77071 24.69386, 46.7694 24.69345, 46.76867 24.69324, 46.76851 24.69318, 46.76797 24.69299, 46.76773 24.69292, 46.76748 24.69283, 46.76711 24.69267, 46.7658 24.6922, 46.76403 24.6916, 46.76387 24.69155, 46.76356 24.69153, 46.76334 24.69146, 46.76209 24.69108, 46.76186 24.691, 46.76139 24.69084, 46.76099 24.69071, 46.76073 24.69062, 46.7598 24.69032, 46.75931 24.69017, 46.75791 24.68969, 46.75753 24.68956, 46.75718 24.68945, 46.75544 24.68887, 46.75491 24.6887, 46.75449 24.68856, 46.7541 24.68843, 46.75391 24.68838, 46.754 24.68815, 46.75407 24.68804, 46.75419 24.68766, 46.75435 24.68726, 46.75459 24.68648, 46.75488 24.68567, 46.75503 24.68531, 46.75539 24.68442, 46.75546 24.68424, 46.75583 24.68333, 46.75608 24.68271, 46.75615 24.68253, 46.75627 24.68225, 46.7564 24.68191, 46.75657 24.68147, 46.75702 24.6804, 46.75723 24.67989, 46.75748 24.67954, 46.75767 24.67945, 46.75781 24.67947, 46.75794 24.67955, 46.75801 24.67966, 46.75803 24.67977, 46.75803 24.67999, 46.75784 24.68049, 46.7576 24.6811, 46.75768 24.68112, 46.7586 24.68143, 46.75929 24.68166, 46.75988 24.68185, 46.76027 24.68198, 46.76067 24.68211, 46.761094 24.682257)"
